                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7218,                 4.3573,                 4.2902,                0.00167,                0.46154,                0.00123,                0.00048,                 3.3432,                 4.6784,                 4.1584,                0.00014,                0.00014,                0.00014
                      2,                 3.7645,                 4.2897,                  4.225,                0.00222,                0.61538,                0.01129,                0.00154,                 3.3399,                 4.6833,                 4.1543,              0.0002997,              0.0002997,              0.0002997
                      3,                 3.6526,                 4.1799,                 4.1778,                0.00167,                0.46154,                0.00124,                0.00054,                 3.3358,                 4.6857,                 4.1467,             0.00045909,             0.00045909,             0.00045909
                      4,                 3.5394,                  4.018,                 4.1444,                0.00194,                0.53846,                0.00152,                0.00051,                 3.3252,                 4.5915,                  4.106,             0.00061816,             0.00061816,             0.00061816
                      5,                 3.6631,                 3.8487,                 4.0657,                0.00194,                0.53846,                0.00152,                0.00055,                 3.2073,                 4.5191,                 3.9823,             0.00077691,             0.00077691,             0.00077691
                      6,                  3.279,                 3.6726,                 3.9196,                0.00278,                0.76923,                0.02545,                0.00468,                  2.876,                 4.2143,                 3.7294,             0.00093535,             0.00093535,             0.00093535
                      7,                 3.1308,                 3.3921,                 3.7749,                0.00278,                0.76923,                0.00692,                0.00151,                  3.005,                 4.0545,                 3.7434,              0.0010935,              0.0010935,              0.0010935
                      8,                 3.0482,                 3.3288,                 3.6108,                 0.0025,                0.69231,                 0.0063,                0.00137,                 3.1179,                 3.6135,                 3.9002,              0.0012513,              0.0012513,              0.0012513
                      9,                 2.9882,                 3.2299,                 3.5243,                0.00194,                0.53846,                0.00231,                0.00052,                 3.2472,                 3.6776,                 4.0643,              0.0014088,              0.0014088,              0.0014088
                     10,                  2.822,                  3.037,                 3.3893,                0.00167,                0.46154,                0.00136,                0.00046,                 3.3862,                 3.7968,                 4.2521,              0.0015659,              0.0015659,              0.0015659
                     11,                 2.6798,                 2.9793,                 3.3091,                0.00194,                0.53846,                0.00192,                0.00057,                 3.2564,                 3.7771,                 4.1852,              0.0017228,              0.0017228,              0.0017228
                     12,                 2.6308,                  2.797,                 3.2889,                0.00085,                0.07692,                 0.0007,                  7e-05,                 3.2335,                 4.1196,                 4.1859,              0.0018793,              0.0018793,              0.0018793
                     13,                 2.5283,                 2.7598,                 3.2067,                0.00085,                0.07692,                 0.0007,                  7e-05,                 3.1652,                 4.9804,                 4.1169,              0.0019762,              0.0019762,              0.0019762
                     14,                 2.5214,                 2.5805,                  3.057,                0.75755,                0.15385,                0.21771,                0.06297,                 2.5687,                  2.959,                 3.3212,              0.0019743,              0.0019743,              0.0019743
                     15,                 2.5002,                 2.6071,                 3.0185,                0.39151,                0.14949,                0.17233,                0.05674,                 2.4759,                 3.1471,                 3.5913,              0.0019723,              0.0019723,              0.0019723
                     16,                 2.3931,                 2.5012,                 2.9487,                0.04968,                0.69231,                0.11003,                0.02728,                 2.9243,                 26.035,                 6.2082,              0.0019703,              0.0019703,              0.0019703
                     17,                 2.3786,                 2.3162,                 2.9657,                0.19654,                0.54588,                0.31155,                0.10975,                 2.2765,                 2.7138,                 3.3602,              0.0019683,              0.0019683,              0.0019683
                     18,                 2.3219,                 2.2877,                 2.8449,                0.27037,                0.54169,                0.46371,                0.12357,                 2.4323,                 2.3981,                  3.288,              0.0019663,              0.0019663,              0.0019663
                     19,                 2.3783,                  2.289,                 2.8405,                0.59801,                0.46154,                 0.6231,                0.24709,                 2.2613,                 2.2513,                 2.9505,              0.0019644,              0.0019644,              0.0019644
                     20,                 2.1906,                 2.2652,                 2.7437,                 0.2195,                0.38462,                0.25564,                0.08375,                 2.3879,                 2.6671,                 3.1072,              0.0019624,              0.0019624,              0.0019624
                     21,                 2.2574,                 2.1237,                 2.8041,                0.41004,                0.38462,                 0.3465,                0.09252,                 2.4864,                 2.4032,                 3.1513,              0.0019604,              0.0019604,              0.0019604
                     22,                 2.1466,                 1.9367,                  2.673,                0.17604,                0.69231,                0.27692,                0.12473,                 2.6334,                 2.8167,                 3.1764,              0.0019584,              0.0019584,              0.0019584
                     23,                 2.1742,                 2.0412,                 2.7266,                0.62539,                0.61538,                0.75218,                0.22788,                 2.4759,                 1.8035,                 2.9743,              0.0019564,              0.0019564,              0.0019564
                     24,                 2.1216,                 2.0015,                 2.6694,                0.49286,                0.84615,                0.63354,                0.18849,                 2.6706,                 1.7357,                 3.1109,              0.0019545,              0.0019545,              0.0019545
                     25,                 2.1536,                 1.9587,                 2.6958,                0.50735,                0.61538,                0.52346,                0.20912,                 2.4329,                  1.587,                  2.874,              0.0019525,              0.0019525,              0.0019525
                     26,                 2.1767,                 1.9042,                 2.6697,                0.67525,                0.80093,                0.82242,                0.27708,                 2.4708,                 1.5752,                 2.8707,              0.0019505,              0.0019505,              0.0019505
                     27,                 2.0481,                 1.8056,                 2.5682,                0.35623,                0.61538,                0.46514,                0.12421,                  2.459,                 2.0772,                 3.0905,              0.0019485,              0.0019485,              0.0019485
                     28,                 1.9869,                 1.7801,                 2.5234,                0.45204,                0.76923,                0.60145,                0.25529,                 2.1887,                 1.8287,                 2.8856,              0.0019465,              0.0019465,              0.0019465
                     29,                 1.9922,                 1.7582,                 2.4902,                0.47536,                0.62787,                 0.5364,                0.21278,                 2.2874,                 2.7615,                 2.7359,              0.0019446,              0.0019446,              0.0019446
                     30,                 1.9965,                   1.72,                 2.5421,                0.55282,                0.76923,                0.61383,                 0.2293,                 2.1839,                 2.4017,                 2.7364,              0.0019426,              0.0019426,              0.0019426
                     31,                 2.0064,                 1.7093,                 2.5542,                0.37592,                0.69231,                  0.605,                0.23842,                 2.2008,                 8.5854,                 2.9103,              0.0019406,              0.0019406,              0.0019406
                     32,                 2.0318,                 1.7602,                 2.5263,                0.27887,                0.92308,                0.68178,                0.30242,                 1.9264,                 13.333,                 2.6746,              0.0019386,              0.0019386,              0.0019386
                     33,                 1.8232,                 1.5795,                 2.3613,                0.35783,                0.92308,                0.53759,                0.26494,                 1.8823,                 4.5466,                 2.4941,              0.0019366,              0.0019366,              0.0019366
                     34,                 1.7917,                 1.5771,                 2.3383,                0.64164,                0.69231,                0.66763,                0.33489,                 2.0511,                 3.6319,                 2.7971,              0.0019347,              0.0019347,              0.0019347
                     35,                 1.9017,                 1.5898,                 2.4689,                0.40862,                0.74482,                0.49937,                  0.206,                 1.8954,                 3.3271,                 2.6006,              0.0019327,              0.0019327,              0.0019327
                     36,                 1.8066,                 1.5714,                 2.4292,                0.34015,                0.23077,                0.27779,                0.10922,                 2.2708,                 2.1758,                 2.7686,              0.0019307,              0.0019307,              0.0019307
                     37,                 1.8964,                 1.6392,                 2.4378,                0.82486,                0.76923,                0.91514,                0.35945,                 2.1144,                  1.446,                 2.7581,              0.0019287,              0.0019287,              0.0019287
                     38,                 1.7714,                 1.5434,                 2.3667,                0.83134,                 0.7591,                0.79935,                0.37681,                 1.9009,                 1.5848,                 2.6175,              0.0019267,              0.0019267,              0.0019267
                     39,                 1.7655,                  1.495,                 2.3139,                0.56453,                 0.8983,                0.71786,                0.25205,                 2.2541,                 1.6527,                 2.8109,              0.0019248,              0.0019248,              0.0019248
                     40,                 1.7123,                 1.4229,                 2.2884,                0.57921,                0.69231,                0.76857,                0.28462,                 2.1043,                 2.8633,                 2.6497,              0.0019228,              0.0019228,              0.0019228
                     41,                 1.6252,                 1.4303,                 2.2654,                0.77474,                0.79495,                 0.9118,                 0.4841,                 1.6572,                 1.5238,                 2.3478,              0.0019208,              0.0019208,              0.0019208
                     42,                 1.6617,                 1.4023,                 2.2245,                0.52935,                0.53846,                0.58729,                0.20615,                 2.4678,                 1.4852,                  2.947,              0.0019188,              0.0019188,              0.0019188
