epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.975,2.22852,4.46953,3.30277,0.54223,0.46154,0.62175,0.20273,1.8834,4.13765,4.24118,0.00014,0.00014,0.00014
2,29.961,1.35645,2.70717,2.58895,0.85262,1,0.89367,0.54248,1.06548,2.35974,3.43544,0.000299703,0.000299703,0.000299703
3,33.4005,1.04545,2.07596,2.39142,0.90907,0.76905,0.88211,0.53048,1.08558,3.24251,4.53206,0.000459089,0.000459089,0.000459089
4,36.784,0.93185,1.61008,2.1778,0.85385,0.89999,0.93767,0.66187,1.08623,2.54542,2.62658,0.000618159,0.000618159,0.000618159
5,40.1244,1.09295,1.58551,2.3772,1,0.98376,0.995,0.62817,1.06151,2.34326,2.7331,0.000776911,0.000776911,0.000776911
6,43.3679,1.02127,1.35935,2.27417,0.89367,1,0.95714,0.67706,1.15904,1.78133,4.1973,0.000935347,0.000935347,0.000935347
7,46.8173,1.09136,1.22089,2.3578,0.85477,1,0.96182,0.62086,1.12017,1.97405,3.32905,0.00109347,0.00109347,0.00109347
8,50.2341,1.06309,1.13681,2.12012,0.87986,0.84615,0.93626,0.54029,1.45246,1.96752,3.59459,0.00125127,0.00125127,0.00125127
9,53.9377,1.06357,1.05176,2.30199,0.86602,0.99474,0.95583,0.62874,1.16806,1.44056,3.39505,0.00140875,0.00140875,0.00140875
10,57.8442,1.03527,0.97463,2.48737,0.76745,1,0.9278,0.55582,1.32691,1.4386,3.23984,0.00156592,0.00156592,0.00156592
11,64.6204,1.04452,0.91368,2.26724,1,0.81402,0.90512,0.55242,1.24345,1.37171,2.62036,0.00172277,0.00172277,0.00172277
12,70.1413,1.10772,0.97052,2.30449,0.86509,1,0.98429,0.6607,1.04387,1.19164,2.33721,0.00187931,0.00187931,0.00187931
13,73.329,1.0315,0.83534,2.19395,0.81086,1,0.93706,0.62983,1.25545,1.05002,3.53958,0.00197624,0.00197624,0.00197624
14,76.5594,1.03571,0.81623,2.22256,1,0.97666,0.995,0.64949,1.11444,1.02323,3.22516,0.00197426,0.00197426,0.00197426
15,79.8689,1.03559,0.79519,2.15181,1,0.90282,0.97853,0.68924,1.09311,0.99167,3.66353,0.00197228,0.00197228,0.00197228
16,83.2725,1.04083,0.77633,2.33679,0.71041,1,0.93688,0.57764,1.20416,1.12294,3.02584,0.0019703,0.0019703,0.0019703
17,86.8159,1.03656,0.78573,2.26858,0.95753,1,0.995,0.62366,1.22972,1.16449,3.2092,0.00196832,0.00196832,0.00196832
18,90.058,1.15504,0.78796,2.23074,0.99182,1,0.995,0.61645,1.18987,1.06018,2.82263,0.00196634,0.00196634,0.00196634
19,93.462,1.02101,0.79389,2.12481,0.85706,1,0.95583,0.61859,1.15321,1.01866,2.84798,0.00196436,0.00196436,0.00196436
20,96.6786,1.04232,0.75973,2.0472,0.9241,1,0.99,0.61262,1.32851,0.79293,5.04954,0.00196238,0.00196238,0.00196238
21,99.9954,0.98861,0.70575,2.29064,0.80808,0.9728,0.95457,0.58499,1.31489,0.98022,4.04251,0.0019604,0.0019604,0.0019604
22,103.482,1.00864,0.733,2.02962,0.75937,0.97209,0.88084,0.61549,1.29013,1.08895,3.91584,0.00195842,0.00195842,0.00195842
23,106.898,1.06725,0.74103,2.16928,0.82054,1,0.94917,0.6357,1.20164,0.976,5.07105,0.00195644,0.00195644,0.00195644
24,110.143,0.97104,0.69771,2.18073,0.91662,1,0.97357,0.62975,1.17393,0.97851,3.84241,0.00195446,0.00195446,0.00195446
25,113.366,0.93987,0.68428,2.144,1,0.89495,0.98188,0.69509,1.04049,0.92527,4.0759,0.00195248,0.00195248,0.00195248
26,116.726,0.92411,0.67401,2.19137,0.9334,1,0.995,0.66664,1.0511,0.89278,4.99374,0.0019505,0.0019505,0.0019505
27,119.991,1.01344,0.70675,2.32052,0.94667,1,0.995,0.61722,1.34415,0.8986,4.12846,0.00194852,0.00194852,0.00194852
28,123.232,0.96373,0.62543,2.19897,0.9245,0.94294,0.99,0.62507,1.35641,0.98222,4.21895,0.00194654,0.00194654,0.00194654
29,126.473,0.98737,0.69539,2.33623,0.91429,1,0.97357,0.55806,1.34523,0.82936,4.41347,0.00194456,0.00194456,0.00194456
30,129.71,1.0025,0.72443,2.14804,0.92346,1,0.99,0.59188,1.16434,0.91033,2.57591,0.00194258,0.00194258,0.00194258
31,132.876,0.9519,0.65092,2.17626,0.9806,1,0.995,0.73918,0.98805,0.83222,2.55654,0.0019406,0.0019406,0.0019406
